,jarak,label
1,2.7064393292245508,1.0
5,2.795947384580715,1.0
13,2.948276960553878,1.0
7,2.9736955106793257,1.0
0,2.9969212310693734,1.0
14,3.1057267280933267,1.0
2,3.4488319802581713,1.0
6,3.5491242524014806,1.0
9,3.606351624249742,1.0
16,3.6173496508514016,1.0
3,3.7175024167779624,1.0
59,3.7701626737999057,3.0
11,3.813014261550704,1.0
41,4.04068851760304,3.0
12,4.120890101603316,1.0
38,4.2696205960459395,2.0
4,4.327855291122664,1.0
44,4.522428778935813,3.0
54,4.650344278039732,3.0
19,4.744513304243189,1.0
53,4.755430630699856,3.0
43,4.860395416374642,3.0
24,4.924247630012092,2.0
49,4.9248549386750655,3.0
21,4.952434888832462,2.0
36,5.01554742200518,2.0
37,5.133423372610225,2.0
25,5.3306731901474,2.0
23,5.340716655518363,2.0
20,5.356133996337166,2.0
32,5.362618312997713,2.0
26,5.51384864277836,2.0
39,5.650478052490753,2.0
18,5.732784871918301,1.0
46,5.774910745302557,3.0
35,5.8219298298209825,2.0
10,5.837456399562814,1.0
8,5.843031895216354,1.0
17,5.843031895216354,1.0
40,6.214941957897842,3.0
28,6.228275231034322,2.0
58,6.266227712205401,3.0
56,6.297485624859536,3.0
55,6.33578938829658,3.0
33,6.378321362116956,2.0
22,6.403946327418207,2.0
34,6.404904107858242,2.0
29,6.456677952751467,2.0
30,6.595939959565682,2.0
27,6.691815561401293,2.0
57,6.887587243166258,3.0
15,6.979223754042019,1.0
52,7.054732921365406,3.0
31,7.0674048751944225,2.0
50,7.483933597043799,3.0
47,7.573475337420954,3.0
42,8.719619762284829,3.0
45,9.091379597365762,3.0
48,9.382830388721498,3.0
51,10.13156028427731,3.0
