,Gambar,R,G,B
21,1,50.86749267578125,46.28288269042969,32.149200439453125
51,1,48.974853515625,42.418914794921875,30.65374755859375
58,1,46.84444627072832,44.03732467674775,33.28461721089926
22,1,45.16606140136719,44.20367431640625,33.365264892578125
41,1,40.09346008300781,39.65045166015625,30.409408569335938
20,1,51.710906982421875,47.17718505859375,30.934097290039062
19,1,43.81402587890625,43.40486145019531,31.5885009765625
46,1,46.29835510253906,43.770172119140625,29.9541015625
17,1,62.03123474121094,56.841644287109375,38.829681396484375
31,1,45.096379499027236,38.71490454766537,26.744482611867703
14,1,60.50141906738281,57.591705322265625,39.5443115234375
47,1,43.116546630859375,41.472442626953125,31.063232421875
54,1,41.61253356933594,41.281829833984375,31.811264038085938
11,1,49.67301940917969,44.65185546875,32.29655456542969
34,1,53.833869485294116,46.49810049019608,32.87510723039216
8,1,68.84642028808594,62.097686767578125,41.326995849609375
43,1,44.5931401024244,39.51714306698983,26.366037030360086
3,1,62.03123474121094,56.841644287109375,38.829681396484375
12,1,34.55024719238281,31.0767822265625,25.069686889648438
49,1,38.88768005371094,37.540374755859375,30.873626708984375
45,2,32.60980224609375,38.932830810546875,32.16596984863281
32,2,36.64485168457031,40.700469970703125,33.807098388671875
35,2,26.1949462890625,29.384719848632812,26.971343994140625
44,2,34.15521240234375,40.076629638671875,34.69026184082031
38,2,37.21446228027344,39.583892822265625,32.98173522949219
39,2,34.01969909667969,39.06629943847656,33.43724060058594
40,2,32.22315979003906,36.262359619140625,30.823211669921875
0,2,24.066558837890625,28.43267822265625,26.281906127929688
50,2,27.050811767578125,32.40711975097656,30.18450927734375
18,2,25.64666748046875,29.59808349609375,26.628097534179688
16,2,25.08990478515625,28.99444580078125,25.97076416015625
53,2,20.618682861328125,26.130569458007812,26.86407470703125
56,2,32.033905029296875,35.881805419921875,28.608551025390625
7,2,26.056259155273438,29.391357421875,27.430938720703125
6,2,26.20623779296875,33.54962158203125,32.71382141113281
5,2,29.32159423828125,32.812713623046875,27.964340209960938
4,2,39.0889892578125,44.41011047363281,38.41764831542969
1,2,35.34819030761719,37.40106201171875,31.036453247070312
48,2,43.078582763671875,44.951202392578125,34.940093994140625
42,2,32.05006408691406,37.794586181640625,33.70771789550781
52,3,58.93536376953125,62.52349853515625,40.728179931640625
55,3,45.176727294921875,48.62554931640625,31.461395263671875
57,3,73.10566711425781,76.64810180664062,49.83953857421875
29,3,37.57325744628906,37.61222839355469,24.752609252929688
36,3,49.95552062988281,53.19068908691406,35.80024719238281
33,3,76.82420349121094,78.36477661132812,51.02574157714844
30,3,53.65229797363281,60.74021911621094,42.51861572265625
28,3,62.99946594238281,71.94241333007812,45.97718811035156
27,3,76.52874755859375,81.19442749023438,53.87586975097656
26,3,52.16876220703125,57.9764404296875,37.029571533203125
25,3,63.9873046875,69.759033203125,45.824462890625
24,3,79.15141296386719,86.19900512695312,60.85963439941406
23,3,59.95841979980469,66.918212890625,46.45416259765625
15,3,51.7318115234375,55.90403747558594,37.02494812011719
13,3,46.67832946777344,52.29890441894531,34.58818054199219
10,3,61.78202819824219,62.73149108886719,39.19024658203125
9,3,61.493743896484375,61.08856201171875,40.63755798339844
2,3,60.87376403808594,66.61264038085938,43.51399230957031
37,3,58.28776550292969,63.568023681640625,40.97135925292969
59,3,45.83062744140625,48.30084228515625,30.32696533203125
